rank,pos,player,team,value,tier,ppr12,note
106,QB,Bo Nix,DEN,3,4,7,
107,QB,Justin Herbert,LAC,3,4,7,
108,QB,Brock Purdy,SF,3,4,7,
109,WR,Makai Lemon,PHI,3,7,6,
110,WR,Rashid Shaheed,SEA,3,7,6,
111,WR,Deebo Samuel,SF,3,7,6,
112,WR,Jordyn Tyson,NO,3,7,6,hamstring - out until October
113,RB,Zach Charbonnet,SEA,3,7,5,reserve/PUP - out first 4 games
114,RB,Tyjae Spears,TEN,3,7,5,
115,RB,Dylan Sampson,CLE,3,7,5,
116,RB,Chris Rodriguez Jr.,JAC,3,7,5,
117,RB,Tyrone Tracy Jr.,NYG,3,7,5,
118,TE,Colston Loveland,CHI,2,2,16,
119,QB,Jaxson Dart,NYG,2,4,6,
120,QB,Jared Goff,DET,2,4,6,
121,WR,Jerry Jeudy,CLE,2,8,5,
122,WR,Keenan Allen,IND,2,8,5,
123,WR,Tre Tucker,LV,2,8,5,
124,WR,Jalen Coker,CAR,2,8,5,
125,WR,Jalen McMillan,TB,2,8,5,
126,RB,Isiah Pacheco,DET,2,8,4,
127,DST,Denver,DEN,2,1,2,
128,DST,Houston,HOU,2,1,2,
129,TE,Tyler Warren,IND,1,3,14,"groin, likely Wk1 (no TE slot anyway)"
130,TE,Harold Fannin Jr.,CLE,1,3,13,
131,TE,Kyle Pitts,ATL,1,3,11,
132,TE,Travis Kelce,KC,1,3,10,
133,TE,Sam LaPorta,DET,1,3,9,
134,TE,Mark Andrews,BAL,1,3,9,
135,TE,Tucker Kraft,GB,1,3,7,
136,TE,Jake Ferguson,DAL,1,3,6,
137,QB,Trevor Lawrence,JAC,1,5,5,
138,QB,Matthew Stafford,LAR,1,5,5,
139,TE,Dallas Goedert,PHI,1,3,5,
140,TE,George Kittle,SF,1,3,5,Achilles return (no TE slot anyway)
141,TE,Dalton Schultz,HOU,1,3,5,
142,WR,Rashod Bateman,BAL,1,8,4,
143,WR,Calvin Ridley,TEN,1,8,4,
144,WR,Adonai Mitchell,NYJ,1,8,4,
145,WR,Germie Bernard,PIT,1,8,4,
146,WR,Jalen Nailor,LV,1,8,4,
147,TE,Dalton Kincaid,BUF,1,3,4,
148,QB,Patrick Mahomes,KC,1,5,3,
149,QB,Tyler Shough,NO,1,5,3,
150,RB,Brian Robinson Jr.,ATL,1,8,3,
151,RB,Justice Hill,BAL,1,8,3,
152,RB,Tyler Allgeier,ARI,1,8,3,
153,RB,Keaton Mitchell,LAC,1,8,3,
154,RB,Braelon Allen,NYJ,1,8,3,
155,RB,Tank Bigsby,PHI,1,8,3,
156,RB,Ray Davis,BUF,1,8,3,
157,WR,Malik Washington,MIA,1,8,3,
158,WR,Ryan Flournoy,DAL,1,8,3,
159,WR,Jauan Jennings,MIN,1,8,3,
160,WR,Denzel Boston,CLE,1,8,3,
161,WR,Caleb Douglas,MIA,1,8,3,
162,WR,Xavier Hutchinson,HOU,1,8,3,
163,WR,Isaac TeSlaa,DET,1,8,3,
164,TE,Hunter Henry,NE,1,3,3,
165,TE,Isaiah Likely,NYG,1,3,3,
166,TE,Juwan Johnson,NO,1,3,3,
167,QB,Kyler Murray,MIN,1,5,2,
168,QB,Malik Willis,MIA,1,5,2,
169,QB,Sam Darnold,SEA,1,5,2,
170,RB,MarShawn Lloyd,GB,1,8,2,
171,RB,Samaje Perine,CIN,1,8,2,
172,RB,George Holani,SEA,1,8,2,
173,RB,Kimani Vidal,LAC,1,8,2,
174,WR,Travis Hunter,JAC,1,8,2,
175,WR,Devaughn Vele,NO,1,8,2,
176,TE,Pat Freiermuth,PIT,1,3,2,
177,TE,Greg Dulcich,MIA,1,3,2,
178,QB,Baker Mayfield,TB,1,5,1,
179,QB,Jordan Love,GB,1,5,1,
180,WR,Xavier Legette,CAR,1,8,1,
181,RB,Ty Johnson,BUF,1,8,1,
182,TE,Brenton Strange,JAC,1,3,1,
183,K,Brandon Aubrey,DAL,1,2,1,
184,RB,Mike Washington Jr.,LV,1,8,1,
185,RB,Jonah Coleman,DEN,1,8,1,
186,WR,Cooper Kupp,SEA,1,8,1,
187,WR,Darius Slayton,NYG,1,8,1,
188,WR,Jaylin Noel,HOU,1,8,1,
189,RB,Jaydon Blue,DAL,1,8,1,
190,K,Cameron Dicker,LAC,1,2,1,
191,DST,Seattle,SEA,1,2,1,
192,RB,Sean Tucker,TB,1,8,1,
193,WR,Tre Harris,LAC,1,8,1,
194,WR,Pat Bryant,DEN,1,8,1,
195,WR,Omar Cooper Jr.,NYJ,1,8,1,
196,RB,Emari Demercado,KC,1,8,1,
197,DST,Minnesota,MIN,1,2,1,
198,WR,Tyquan Thornton,KC,1,8,1,
199,WR,Ja'Kobi Lane,BAL,1,8,1,
200,DST,Pittsburgh,PIT,1,2,1,
201,DST,Los Angeles Rams,LAR,1,2,1,
202,DST,Los Angeles Chargers,LAC,1,2,1,
203,DST,Philadelphia,PHI,1,2,1,
204,DST,New England,NE,1,2,1,
205,DST,Detroit,DET,1,2,1,
206,DST,Buffalo,BUF,1,2,1,
207,DST,Jacksonville,JAC,1,2,1,
208,K,Ka'imi Fairbairn,HOU,1,2,1,
209,K,Jason Myers,SEA,1,2,1,
210,K,Wil Lutz,DEN,1,2,1,
211,K,Chase McLaughlin,TB,1,2,1,
212,K,Harrison Butker,KC,1,2,1,
213,K,Eddy Pineiro,SF,1,2,1,
214,K,Tyler Loop,BAL,1,2,1,
215,K,Jake Bates,DET,1,2,1,
216,K,Cam Little,JAC,1,2,1,
217,K,Will Reichard,MIN,1,2,1,
